,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE
190,Autauga County,50354,24470,25884,19705,20409,4257,4860,109,117,114,201,6,9,279,288,540,513
418,Baldwin County,176212,86246,89966,75910,78971,8505,9064,456,432,456,592,19,27,900,880,2823,2682
646,Barbour County,29836,15834,14002,8369,7111,7168,6688,99,52,46,47,3,6,149,98,938,478
874,Bibb County,21589,11223,10366,8344,8178,2765,2083,32,29,6,11,2,0,74,65,199,114
1102,Blount County,57794,28785,29009,27744,27909,581,617,181,130,47,74,4,8,228,271,2444,1914
1330,Bullock County,10921,6038,4883,1994,1236,3956,3577,38,7,14,15,1,1,35,47,651,294
1558,Butler County,20171,9502,10669,5495,5941,3899,4594,22,24,37,51,0,0,49,59,102,98
1786,Calhoun County,113422,54275,59147,42734,45424,10334,12248,246,220,303,566,41,43,617,646,1450,1388
2014,Chambers County,34473,16315,18158,10195,10848,5931,7093,33,25,40,41,0,0,116,151,231,265
2242,Cherokee County,24413,11863,12550,11031,11641,648,705,38,37,31,54,0,0,115,113,148,155
2470,Chilton County,42696,21208,21488,18633,18705,2296,2494,63,55,55,67,4,2,157,165,1326,810
2698,Choctaw County,14083,6595,7488,3779,3971,2750,3462,16,10,11,4,0,0,39,41,64,65
2926,Clarke County,26264,12508,13756,7067,7483,5288,6127,34,33,47,23,0,1,72,89,123,131
3154,Clay County,13807,6815,6992,5650,5758,1069,1121,24,21,5,9,2,1,65,82,239,147
3382,Cleburne County,14736,7420,7316,7036,6875,298,330,23,26,6,16,0,1,57,68,233,101
3610,Coffee County,47773,23209,24564,18266,18977,4105,4518,212,219,179,390,32,22,415,438,1087,1032
3838,Colbert County,54626,26201,28425,21590,22982,4118,4942,116,109,92,90,9,10,276,292,495,394
4066,Conecuh County,13038,6161,6877,3525,3634,2559,3159,15,20,6,11,4,3,52,50,72,88
4294,Coosa County,10724,5339,5385,3681,3576,1586,1737,18,22,0,6,0,1,54,43,124,51
4522,Covington County,36646,17543,19103,15074,16171,2164,2590,95,105,50,78,4,1,156,158,197,210
4750,Crenshaw County,13686,6504,7182,4850,5160,1552,1917,33,28,11,11,1,0,57,66,91,77
4978,Cullman County,81518,40384,41134,39016,39835,700,613,204,162,68,115,12,19,384,390,1994,1370
5206,Dale County,48400,23580,24820,18072,18360,4635,5363,157,136,165,437,44,40,507,484,970,1071
5434,Dallas County,42627,19465,23162,6414,6968,12815,15937,33,29,84,95,3,2,116,131,176,184
5662,DeKalb County,68894,33897,34997,32437,33305,623,789,300,267,85,147,24,21,428,468,4148,3467
5890,Elmore County,78125,39418,38707,29579,30038,9032,7856,156,157,170,224,22,8,459,424,759,767
6118,Escambia County,37532,19097,18435,11880,11838,6352,5649,564,605,66,62,5,5,230,276,254,292
6346,Etowah County,103435,49645,53790,41764,44410,6908,8402,172,187,278,247,28,17,495,527,1787,1396
6574,Fayette County,17577,8541,9036,7446,7728,1007,1179,23,18,9,49,0,2,56,60,112,92
6802,Franklin County,31051,15554,15497,14586,14521,702,682,59,61,44,57,27,30,136,146,2805,1694
7030,Geneva County,25971,12674,13297,11181,11593,1249,1470,105,98,11,26,5,2,123,108,407,291
7258,Greene County,9039,4221,4818,927,904,3263,3882,7,5,6,8,0,0,18,19,35,38
7486,Hale County,18083,9110,8973,3846,3594,5191,5288,18,14,10,18,1,3,44,56,119,102
7714,Henry County,16623,7981,8642,5605,5762,2290,2787,19,16,4,7,3,1,60,69,226,193
7942,Houston County,98852,47049,51803,34361,36805,11661,13770,178,180,340,489,10,7,499,552,1034,1030
8170,Jackson County,52934,25807,27127,23762,24912,952,1022,468,493,66,86,7,5,552,609,522,484
8398,Jefferson County,663394,314113,349281,181526,193051,123797,147128,1108,1103,4502,4652,246,239,2934,3108,12308,9755
8626,Lamar County,14341,6949,7392,6150,6392,743,923,11,13,2,8,0,0,43,56,192,114
